OPERACION;PLACA;PESO VACÍO MÍNIMO (kg);PESO VACÍO MÁXIMO (kg);PESO LLENO MÍNIMO (kg);PESO LLENO MÁXIMO (kg)
3r;VES162;2000;2210;3000;10000
Alpina;ESY236;9223;12083;31743;33743
Alpina;SNU031;9223;12083;32540;34540
Alpina;SRM179;8700;12040;15510;25235
Alpina;SRO179;9395;11395;18810;20810
Alpina;SZM910;9715;11830;11225;14095
Alpina;UZN152;9080;13065;13240;23985
AlqueríA Cv;DGX311;11540;13540;29700;31700
AlqueríA Cv;EXZ586;8414;10797;3150;10000
AlqueríA Cv;GTX311;11140;13140;30120;32120
AlqueríA Cv;GUU346;4040;6220;3000;13350
AlqueríA Cv;JUZ736;9500;13060;13000;26120
AlqueríA Cv;JVM408;4120;6340;3000;13560
AlqueríA Cv;NUY885;3860;5960;3000;13680
AlqueríA Cv;TGX311;10230;13100;11520;31430
AlqueríA Cv;TLY199;8414;10797;6000;10000
AlqueríA Cv;WDB048;10590;13100;20479;29250
AlqueríA Cv;WDB408;8414;10797;12064;20570
AlqueríA Cv;WOB048;10710;12710;19910;21910
Ayura;SRM179;8700;11100;12280;21680
Ayura;SRO051;8500;11150;3000;21170
Ayura;SUE326;8590;11500;16490;22320
Ayura;SZM910;8600;11500;4850;21650
Ayura;SZN331;9200;11200;18890;21800
Ayura;TLY120;8600;11500;18030;21490
Ayura;UZN152;8600;11300;18100;21700
Bavaria;IAI509;6500;8500;14100;16100
Bavaria;OAI509;6200;13100;10910;28310
Bavaria;SOM930;10960;12960;27100;29100
Bavaria;SPM930;10260;13450;22700;29700
Bavaria;WOW100;5480;8810;13100;18240
Bavaria;WOW101;11330;16030;25570;29710
Bavaria;XGD873;10260;13750;24120;29740
Brinsa;LUL471;3790;10580;7800;14320
Brinsa;NNZ737;11990;13990;21180;23180
Brinsa;SRO051;8700;10700;13580;26130
Brinsa;SZM910;9570;13150;25870;28740
Brinsa;THS133;10880;12880;13850;15850
Brinsa;TSV298;10910;12910;26550;28550
Brinsa Captacion Secos;SKZ763;1000;10000;15000;30000
Brinsa Captacion Secos;SRO051;1000;10000;15000;30000
Brinsa Captacion Secos;SPJ220;1000;10000;15000;30000
Brinsa Captacion Secos;TSV010;1000;10000;15000;30000
Brinsa Captacion Secos;SPJ220;1000;10000;15000;30000
Brinsa Captacion Secos;TSV010;1000;10000;15000;30000
Brinsa Captacion Humedos;SKZ763;1000;10000;15000;30000
