OPERACION;MATERIAL_1;MATERIAL_2;MATERIAL_3;MATERIAL_4;MATERIAL_5;MATERIAL_6;COLOR;TITULO;INDICE_1;INDICE_2;INDICE_3;INDICE_4
3R;Orgánicos;;;;;;#2563EB;;;;;
Alpina;Lodo láctico;Suero;Destrucción de marca;;;;#0891B2;;;;;
Alquería CV;Destrucción de marca;Gourmet orgánicos;Lodo láctico;Mantenimiento;PNC;Suero lácteo;#DC2626;;;;;
Ayura;Material Vegetal;;;;;;#A16207;;;;;
Bavaria;Lodos;Tierras filtrantes;Aguas residuales;;;;#722F37;;;;;
Brinsa;Lodos;Lodos de Saturadores;Lodos de Carbonato;;;;#0B1F4D;;;;;
Brinsa Captacion Humedos;Lodos de Captacion;;;;;;#0B1F4D;;;;;
Brinsa Captacion Secos;Lodos de Captacion;;;;;;#0B1F4D;;;;;
Emsersopo;PTAR;;;;;;#0F766E;;;;;
Emsertenjo;EPT;Orgánicos y podas;;;;;#059669;;;;;
EPC;Orgánicos ;Podas;;;;;#16A34A;;;;;
EPT;Orgánicos ;podas;;;;;#0369A1;;;;;
EPZ;Orgánicos ;Podas;;;;;#4D7C0F;;;;;
Familia;Lodo papelero;;;;;;#1D4ED8;;;;;
Frigorífico;Contenido ruminal;;;;;;#9D174D;;;;;
Funredcol;Lodo láctico;Lodo orgánico biodegradable;Destrucción de marca;;;;#065F46;;;;;
Gloria;Lodo láctico;;;;;;#B45309;;;;;
Guillermo Clink;Equinaza;;;;;;#78350F;;;;;
HortiOrganic;Lodo papelero;;;;;;#15803D;;;;;
Mc Cain;Hollejo;Lodos;;;;;#C2410C;;;;;
Otro;Otro;;;;;;#6B7280;;;;;
Peldar;Liempieza Lodos;Mixto (orgánicos y hollejo);Material Organico;Lodos;;;#7C2D12;;;;;
Pesebreras;Equinaza;;;;;;#92400E;;;;;
Pomar CV;Suero lácteo;;;;;;#1B3A6B;;;;;
Pomar - Samsa;PTAR;Aguas residuales;;;;;#6B21A8;;;;;
Pomar Horti;Lodos PTAR;Aguas residuales;;;;;#1B3A6B;;;;;
Prodensa - Centro Chía;PTAR;;;;;;#166534;;;;;
Prodensa - Corona;Aglomerado;;;;;;#166534;;;;;
Prodensa - CPNS;PTAR;;;;;;#166534;;;;;
Prodensa - Kassani;Retal madera;Compostaje;;;;;#166534;;;;;
Prodensa - Saufel;Retal madera;;;;;;#166534;;;;;
Prodensa - Tanktechs;Retal madera;;;;;;#166534;;;;;
Prodensa - Toptex;PTAR;Retal madera;Compostaje;;;;#166534;;;;;
Puerta Azul;Equinaza;;;;;;#1E3A8A;;;;;
Reciclene;PTAR;;;;;;#374151;;;;;
Recreo;Suero;Lodos;Aguas residuales;Destrucción de marca;;;#0E7490;;;;;
Sábana Lact - Felipe;Aguas residuales;Otro;;;;;#155E75;;;;;
Sábana Larga;Aguas residuales;PTAR;;;;;#3B6E52;;;;;
Samsa - Ducto;Lodos;;;;;;#6B21A8;;;;;
Samsa - Finca;Otro;;;;;;#6B21A8;;;;;
Samsa - Industria Nacional;Jarabes;PTAP;PTAR;;;;#6B21A8;;;;;
Samsa - Quala;PTAR;;;;;;#6B21A8;;;;;
Samsa - Softys;Aguas residuales;;;;;;#6B21A8;;;;;
Samsa - Urbaser;PTAR;;;;;;#6B21A8;;;;;
Samsa - Veolia / Sanilia;Orgánicos y podas;;;;;;#6B21A8;;;;;
Softys;Lodo papelero;Tromel;;;;;#0057A8;;;;;
Tía Lola;Equinaza;;;;;;#5B21B6;;;;;
Ubaser;PTAR;;;;;;#4B5563;;;;;
Zasiago;Lodos;Lodo láctico;;;;;#92400E;;;;;
